modality,model,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std
physio,LogisticRegression,0.8585026782522441,0.1336633487678931,0.7168770871986824,0.28520566630459276,0.9535441037521818,0.07358092261718821
physio,RandomForest,0.8742773161577146,0.13825930686601595,0.7960331221490401,0.1849197291925191,0.9490703427989776,0.09042913095732738
behavior,LogisticRegression,0.9508620689655173,0.0,0.9490616621983914,0.0,0.9836714975845411,0.0
behavior,RandomForest,0.9543103448275863,0.0,0.9528049866429208,0.0,0.9832969156447416,0.0
